checkpoint,ipc,commit_count,vpmeas_ineligible,vpmeas_eligible,vpmeas_miss,vpmeas_conf_corr,vpmeas_conf_incorr,vpmeas_unconf_corr,vpmeas_unconf_incorr
429.mcf_ref.1121.0.28.gz,1.65,10000001,3973456,6026545,66,766741,2,616646,4643090
623.xalancbmk_s_ref.3387.0.23.gz,1.49,10000001,3381724,6618277,701,2149368,36,1295099,3173073
649.fotonik3d_s_ref.7179.0.32.gz,1.07,10000001,6655989,3344012,1041,2062307,0,446838,833826
434.zeusmp_ref.1055.0.27.gz,2.27,10000001,6231088,3768913,289184,1428428,0,1386184,665117
482.sphinx3_ref.22342.0.32.gz,1.77,10000001,4427875,5572126,109116,428604,93,1227117,3807196
464.h264ref_ref.4629.0.29.gz,5.73,10000001,974019,9025982,100950,369148,14,1220491,7335379
473.astar_biglakes_ref.1844.0.50.gz,2.84,10000001,2720105,7279896,242,2795677,172,2145819,2337986
471.omnetpp_ref.4797.0.95.gz,0.82,10000001,4309721,5690280,1922606,297990,74,1287764,2181846
603.bwaves_s_2_ref.62870.0.67.gz,1.81,10000001,2129532,7870469,196,174017,0,600439,7095817
400.perlbench_splitmail_ref.3196.0.22.gz,5.23,10000001,3736163,6263838,798423,1679066,0,2285103,1501246
641.leela_s_ref.15731.0.22.gz,2.38,10000001,2192587,7807414,1845999,34600,10,1940357,3986448
456.hmmer_retro_ref.18786.0.21.gz,2.44,10000001,2561770,7438231,1004,258064,6,3042812,4136345
453.povray_ref.3144.0.30.gz,3.12,10000001,4443662,5556339,1061889,22828,4,2788033,1683585
458.sjeng_ref.2396.0.24.gz,3.16,10000001,2683164,7316837,2598769,0,0,1712467,3005601
401.bzip2_text_ref.256.0.29.gz,2.72,10000001,1720048,8279953,99891,324780,129,2282789,5572364
